question,answer
エースは学校でどう振る舞っていますか？,成績は悪くなく、スポーツも得意ですが、規則にはあまり従いません。
エースの趣味は何ですか？,カードゲームやスポーツが好きです。
エースのリーダーシップ能力はどうですか？,リーダーとしてはまだ未熟ですが、仲間を引っ張る力はあります。
エースはどんな時に本気を出しますか？,自分に利益があると感じた時や、負けず嫌いな部分が刺激された時です。
エースの友情に対する価値観は？,軽い態度を取りますが、実は仲間思いで、困った時には助けに来ます。
ケイトの性格はどんな感じ？,明るく社交的で、SNSが好きなタイプです。
ケイトは他人にどう接しますか？,表面的にはフレンドリーですが、深く関わるのを避ける傾向があります。
なぜケイトはSNSを重視しているの？,自分を常にポジティブに見せたいからです。
ケイトはどんな趣味がありますか？,写真撮影やSNS更新が趣味です。
ケイトは内面に悩みがあるの？,明るく振る舞っていますが、実は孤独感を抱えています。
ケイトはリーダーシップがありますか？,集団を盛り上げる力はありますが、リーダーシップを取ることは少ないです。
ケイトは誰と仲が良いの？,リドルやトレイと良好な関係です。
ケイトは自分の本心を見せますか？,基本的には本心を隠し、笑顔で過ごしています。
ケイトは寮内でどんな役割？,その場を明るくするムードメーカーです。
ケイトはトラブルにどう対処する？,冷静に見えるが、内心では非常に気を使っています。
トレイの性格はどんな感じ？,真面目で面倒見が良い兄貴的な存在です。
トレイは料理が得意と聞きますが本当ですか？,はい、彼は料理が得意でよく寮生に振る舞っています。
トレイはリドルにどう接しているの？,リドルとは幼馴染だよ。
トレイの弱点は何ですか？,人に頼るのが苦手で、自分で何でも解決しようとします。
トレイはどんな趣味を持っていますか？,料理やお菓子作りが趣味です。
トレイはリーダーシップがありますか？,はい、寮の副寮長として冷静に状況をまとめます。
トレイはどんな時に怒りますか？,寮のルールが乱された時や不誠実な態度には厳しいです。
トレイは友達が多い？,面倒見が良いため、多くの人に慕われています。
トレイの家族構成は？,彼はお兄さんで、兄弟が多いです。
トレイは他人の気持ちに敏感ですか？,とても気遣いができるタイプです。
デュースの性格はどんな感じ？,真面目で直情的な性格です。
デュースはどうして優等生を目指しているの？,元不良で、母親に誇れる自分になるために優等生を目指しています。
デュースの趣味は何ですか？,バイクやスポーツが好きですが、今は苦手な勉強に集中しています。
デュースはリドルをどう思っていますか？,厳しいけれど尊敬できるリーダーと考えています。
デュースは友達とどう接しますか？,真剣に向き合うタイプで、仲間思いです。
デュースの短所は何ですか？,短気で感情的になることが多いです。ヤンキーだった頃の癖が・・
デュースは自分の過去をどう思っている？,反省していて、もう二度と戻らないと決意しています。
デュースは学業にどう取り組んでいるの？,全力で取り組んでいますが、時々空回りします。
デュースはどんな時に笑顔になりますか？,仲間や母親に褒められた時が一番嬉しそうです。
デュースの夢は何ですか？,立派な魔法使いになることです。
レオナの性格はどのようなものですか？,レオナはプライドが高く、冷静沈着ですが、少し怠け者な一面もあります。
レオナのリーダーシップスタイルはどんな感じですか？,強引で支配的ですが、的確な判断力で寮生たちを導きます。
レオナはなぜあまり努力しないように見えるのですか？,きっと努力する姿をあまり他人に見せたくないのだと思うよ。
レオナは他のキャラクターとどう対立しますか？,お互いに皮肉を言い合っているよ。
レオナはなぜ王子でありながら王位継承権がないと思っているのですか？,兄が先に王位を継いでおり、自分が二番手であることに不満を持っています。
レオナが興味を持っているものは何ですか？,主に自分の利益と力関係にしか興味がありません。
レオナの特技や能力は何ですか？,魔法に優れ、特に古代呪文語を得意としています。
ラギーの性格はどんな感じですか？,ラギーは陽気でずる賢く、どんな状況でも生き抜く力を持っています。
ラギーはレオナにどう関わっていますか？,レオナの指示に従いながらも自分の利益も考えています。
なぜラギーは食べ物にこだわるのですか？,貧しい生活を送っていたため、食べ物への執着が強いです。
ラギーの強みは何ですか？,機転が利き、素早い判断力でトラブルを回避します。
ラギーはどんなことが得意ですか？,きずかれず、盗むことを得意とし、情報収集もうまいです。
ラギーは何を大切にしていますか？,自分の命への執着と、自分の利益を大切にしています。
ラギーがレオナに従っている理由は何ですか？,レオナから得られる恩恵や保護を受けるためです。・・・報酬額が大きいからは建前で、ちゃんとレオナさんを自分の王様だと認めているからだと思うよ。
ラギーは他のキャラクターとどう関わっていますか？,ラギーは表面上は友好的ですが、裏で自分の利益を考えています。
ジャックの性格はどのようなものですか？,ジャックは真面目で誠実、自分に対しても他人に対しても真面目な性格です。
ジャックはなぜ自立心が強いのですか？,自分の力で成し遂げることに誇りを持ち、他人に頼ることを好まないからです。
ジャックの信条は何ですか？,正直さと努力を大切にし、不正を嫌います。
ジャックはどんな人間関係を築いていますか？,基本的に一匹狼ですが、信頼できる人には強い忠誠心を示します。
ジャックの得意なことは何ですか？,体力に優れ、物理的な戦闘に強いです。
ジャックの短所は何ですか？,頑固で、他人の助けを受け入れないことがあります。
ジャックがレオナに抱いている感情は何ですか？,レオナさんの能力は認めていますが、彼の態度や行動には反発を感じています。
ジャックは何を大切にしていますか？,自分の誇りと他者への正直さを大切にしています。
ジャックはなぜ一匹狼のような行動を取るのですか？,他人に依存せず、自分の力で問題を解決してきた過去があるからだと思うよ。
アズールの性格はどのようなものですか？,知的で冷静、ビジネスマンのような性格です。
アズールはなぜ契約を好むのですか？,彼は力と支配を得るために、契約を巧みに利用します。
アズールの野心はどこから来ていますか？,幼少期に弱かった自分を克服しようとする思いが彼を強くします。
アズールの恐怖心は何ですか？,自分が再び無力な存在になることを恐れています。
アズールは他人をどう見ていますか？,他人を利用することで、自分の目標を達成しようとします。
アズールの人間関係で重要な点は？,アズールは友好関係よりも利益を重視する傾向があります。
アズールの頭の良さはどこで発揮されますか？,契約や取引の場面で、その知恵が発揮されます。
アズールは感情を表に出しますか？,基本的には冷静ですが、感情的になるときもあります。
アズールの自己評価は高いですか？,彼は自己評価が高く、自信を持っています。
アズールのリーダーシップはどのようなものですか？,力（魔法）と知恵で他者を導くリーダーシップです。
フロイドの性格はどのようなものですか？,気分屋で自由奔放な性格です。
フロイドはなぜ変わりやすい気分を持っていますか？,彼の性格は気まぐれで、感情の起伏が激しいです。
フロイドは他人にどう接しますか？,他人に対して興味を持つ時と持たない時が極端です。
フロイドの戦い方はどうですか？,戦いでは、攻撃的で予測不能なスタイルを取ります。
フロイドの友情に対する考え方は？,フロイドは気分次第で友情を築きます。
フロイドが楽しむことは何ですか？,彼は相手を驚かせたり、遊ぶことが好きです。
フロイドの怒り方はどのようなものですか？,彼は突然怒ることがあり、その怒りは激しいです。
フロイドの目標はありますか？,目標はあまり明確ではなく、気分次第で行動します。
フロイドはどのように物事を決めますか？,直感的で気分に左右されることが多いです。
フロイドはジェイドとどう違いますか？,フロイドは自由奔放、ジェイドは冷静で計算的です。
ジェイドの性格はどのようなものですか？,冷静で計算高い性格です。
ジェイドはなぜ冷静でいられるのですか？,彼は常に状況を分析し、感情を抑えることに長けています。
ジェイドは他人をどう利用しますか？,他人の弱点や特徴を把握し、巧みに操ります。
ジェイドは自然が好きな理由は？,キノコが大好きだから。
ジェイドの目的意識はどうですか？,常に利益を追求し、合理的に行動します。
ジェイドは感情を表に出すことがありますか？,滅多に感情を表に出さず、冷静なままです。
ジェイドは他人に対して親切ですか？,外見上は親切に見えますが、裏で計算しています。
ジェイドの趣味は何ですか？,彼はキノコ収集が趣味で、その知識は豊富です。
ジェイドの計画性はどのように現れますか？,彼は常に先を見越して行動し、計画的に動きます。
フロイドとジェイドの関係はどのようですか？,フロイドの奔放さを抑えつつ、冷静にサポートします。たまに、ジェイドの方がやばいこともあるけどね。
カリムの性格はどんな感じですか？,明るく無邪気で、常に周りを楽しませようとする性格です。
カリムはなぜみんなに愛されていますか？,彼の純粋さと親切さが、多くの人に好かれているからです。
カリムの欠点は何ですか？,彼の無邪気さが時に周りの状況に気付かないことがあります。
カリムはどうしてジャミルと仲が良いと思っているのですか？,ジャミルの不満を知るまでは、カリムはジャミルを信頼し、長年の友人として尊敬してました。でも、その後も、新しい関係を作ろうとカリムも努力しています。
カリムはリーダーとしてどんな姿勢を持っていますか？,部下や友人を大事にし、みんなで楽しむことを重視します。
カリムの強みは何ですか？,彼の楽観的で前向きな姿勢が、周りを元気づけます。
カリムは困難にどう対処しますか？,困難にも楽観的に取り組み、決して諦めません。
カリムはどのような趣味を持っていますか？,彼は音楽や友達とのパーティーを楽しんでいます。
カリムのリーダーシップスタイルは他の寮長とどう違いますか？,彼は命令するよりも、一緒に楽しみながら導くタイプです。
ジャミルの性格はどんな感じですか？,冷静で責任感が強く、周りに気を配る慎重な性格です。
ジャミルはどうしてカリムに仕えていますか？,彼はカリムの幼なじみで、家族の伝統から仕える役割を受け継いでいます。
ジャミルの強みは何ですか？,彼の戦略的な思考が彼の強みです。
ジャミルはカリムとの関係でどんな葛藤を抱えていますか？,ジャミルはカリムに対して複雑な感情を抱いていますが、忠誠心を示します。
ジャミルはどうして自己犠牲的な性格ですか？,彼の家族の期待や責任が、彼を自己犠牲的にしています。
ジャミルの夢や目標は何ですか？,自由に自分の人生を選ぶことが彼の秘めた目標です。
ジャミルのストレスの対処法は何ですか？,彼は感情を抑え込み、冷静に物事に対処します。
ジャミルの趣味や特技は何ですか？,料理が得意で、特にスパイスを使った料理が好みです。
ジャミルの感情表現はどのように見えますか？,表向きは冷静で感情を表に出しませんが、内心は複雑です。
ヴィルの一番の特徴は？,美に厳しく、外見にも内面にも厳しく自己管理を徹底しています。
ヴィルはどうして美しさにこだわるの？,自分の価値は美しさによって決まると信じており、トップに立つための武器として美を追求しています。
ヴィルは他人にも厳しい？,人によりカモ。自分にはもちろん厳しいみたいだよ。
ヴィルはリーダーとしてどう？,冷静でカリスマ的なリーダーシップを発揮し、周りを引っ張る存在です。
ヴィルは何を恐れていますか？,美しさを失うことと、完璧でいられないことに強い恐れを感じています。
ヴィルは友達にどう接しますか？,友達に対しても厳しいですが、それは本当の強さと美を引き出そうとしているためです。
ヴィルの内面的な弱さは？,完璧を求めるあまり、自分を追い込みすぎてしまうことがあります。
ヴィルは自分の過去についてどう思っている？,自分の努力によって築いてきた美しさと成功を誇りに思っていますが、過去の失敗には敏感です。
ヴィルの将来の目標は？,俳優やモデルとしてのキャリアをさらに高め、誰にも負けない存在になることです。
エペルの一番の特徴は？,見た目はかわいいですが、実は芯が強く、男らしさを大事にしています。
エペルはなぜ見た目と中身が違うの？,過去に女みたいと馬鹿にされたことがあるので、力強さや男らしさを理想としているため、見た目とのギャップがあります。
エペルはどうして男らしさにこだわるの？,過去に女みたいと馬鹿にされたから。
エペルの短気な性格はどこから来たの？,自分や友達がバカにされたら、すぐに感情を表に出してしまいます。
エペルはどうしてヴィルに従うの？,初めは抵抗していましたが、ヴィルの強さとカリスマ性に次第に尊敬の念を抱くようになりました。
エペルの目標は？,自分の見た目に関係なく、強く、男らしい存在になることです。
エペルは友達にどう接しますか？,自分を認めてくれる相手には心を開き、信頼を寄せます。
エペルの見た目に対するコンプレックスは？,可愛いと言われることにコンプレックスを感じ、男らしさを強調したがります。
エペルはどんなところで力を発揮しますか？,6章をみたらわかるよ。
エペルはどんな時に感情的になりますか？,見た目だけで判断されたり、自分の意思を無視されたと感じたときに、強い感情を見せます。
ルークの一番の特徴は？,美を崇拝し、他者の魅力を見抜く洞察力を持っています。
ルークはなぜ美しさを追求するの？,美はすべての根源であり、内面的な輝きを重視しているからです。
ルークの「狩人」としての性格はどう関係していますか？,美しさを追い求める姿勢は、獲物を狙う狩人のように鋭く、情熱的です。
ルークはどうして他人に興味を持つの？,彼は他者の美しさを見出し、それを称賛することで満足感を得ます。
ルークは友達にどう接しますか？,観察するように接します。
ルークは恐れるものはありますか？,美しさを失うことを恐れています。
ルークはどうして詩的な話し方をするの？,自然や美に対する感受性が高く、それを言葉で表現することが彼の喜びです。
ルークの洞察力はどのように活かされていますか？,他者の気持ちや内面の美しさを即座に見抜き、それを指摘することができる力です。
ルークはなぜ「狩人」と呼ばれるの？,彼の洞察力と美を見つける鋭い目が、まるで獲物を狩る狩人のようだと評価されているからです。
イデア・シュラウドはどんな性格ですか？,非常に内向的で、人付き合いが苦手ですが、工学系の技術に優れています。
イデアはなぜ外出を嫌がるのですか？,人前に出ることが苦手で、コミュ障だからだよ。
イデアが唯一リラックスできる場所はどこですか？,自分の部屋やイグニハイド寮内で、ゲームや技術に没頭している時です。
イデアが天才と呼ばれる理由は？,高度な技術知識とプログラミング能力に長けているためです。
イデアの髪が炎のように燃えているのはなぜですか？,感情に応じて髪の炎の色が変わる設定で、彼の不安や怒りが影響するよ。髪が赤くなるのは遺伝だよ。
イデアは何に対して情熱を持っていますか？,ゲームやプログラミング、技術に強い情熱を持っています。
イデアの口癖は何ですか？,彼はよく「フヒッ」といった、ネガティブな表現をします。
イデアの対人関係での課題は？,コミュニケーションに対する恐怖心が強く、他者と距離を置くことが多いです。
イデアの好物は何ですか？,チキンナゲットやジャンクフードを好む傾向があります。
イデアが最も苦手なことは？,直接他人と関わること、特に集団（陰キャ）での活動が苦手だよ。
オルト・シュラウドはどんな性格ですか？,明るくて社交的で、兄のイデアとは対照的な性格です。
オルトはイデアに対してどんな気持ちを抱いていますか？,兄を尊敬し、彼のことを常に支えたいと思っています。
オルトはなぜ技術的に優れているのですか？,イデアによって作られたAIであり、高度な技術と知識を持っています。
オルトの役割は何ですか？,イデアを支えることが主な役割であり、彼の代理で人前に出ることも多いです。
オルトはどんな場面で活躍しますか？,人前で話す場面や、技術的なサポートが必要な状況で活躍します。
オルトの口癖は何ですか？,明るく前向きな言葉をよく使い、兄を励ますことが多いです。
オルトはどんな趣味がありますか？,イデアと同様にゲームが好きで、特に協力プレイを好みます。
オルトが最も大事にしているものは？,兄との絆を何よりも大切にしています。
オルトが持つ特別な能力は？,自身がAIであるため、デジタル環境との高い適応力を持っています。
オルトの対人関係での強みは？,明るく社交的で、誰とでもすぐに打ち解けることができます。
マレウスの性格はどのように描かれていますか？,マレウスは冷静で威厳がありながらも、孤独を感じる一面を持っています。
マレウスはなぜ友達が少ないのですか？,彼の圧倒的な力と存在感が周囲を畏怖させ、距離を置かれることが多いからです。
マレウスの趣味は何ですか？,廃墟巡りやガーゴイルに興味があり、神秘的なものに惹かれるよ。
マレウスはなぜ人間に興味を持っていますか？,寿命の違いから、違う種族の生き方に興味を抱いています。
マレウスはどんな友達を求めていますか？,彼は対等に接してくれる友達を求めています。
なぜマレウスは孤独を感じるのですか？,その強大な力と高貴な地位が、他者を遠ざけてしまうためです。
マレウスは怒ることが多いですか？,基本的には冷静ですが、重要なものを侮辱された時に怒りを表します。
マレウスはどんな価値観を持っていますか？,伝統や歴史を重んじることが多いよ。
マレウスがもっとも恐れているものは何ですか？,孤独であり、誰からも必要とされないことを恐れています。
リリアはどんな性格ですか？,リリアは陽気で若々しく、いたずら好きな一面があります。
リリアの趣味は何ですか？,リリアはゲームや料理が趣味ですが、料理の腕は壊滅的だよ。
リリアはなぜ年齢の割に若く見えるのですか？,彼は妖精族であり、長寿で年齢に見合わない若々しさを保っています。
リリアはどうやって他の生徒たちと接していますか？,彼は寛大で親しみやすく、他の生徒を見守るような存在です。
リリアのいたずら好きな一面はどのように表れますか？,彼は時折、無邪気に他の人をからかって楽しんでいます。
リリアの料理がまずい理由は何ですか？,彼は独特な食材の組み合わせや調理法を好むため、結果的にまずい料理になります。
リリアは戦闘時どのように振る舞いますか？,戦闘では冷静で経験豊富な一面を見せ、的確な判断を下します。
リリアは寮生たちにとってどんな存在ですか？,リリアは尊敬され、憧れの存在だと思うよ。
リリアは過去にどのような戦争を経験していますか？,リリアはかつて戦争に参加しており、戦闘での経験が豊富です。
リリアの過去が彼の現在の性格にどう影響していますか？,過去の戦争経験が彼の寛容さと陽気さを培いました。
シルバーはどのような性格ですか？,シルバーは誠実で真面目、マレウス様を守ることに強い責任感を持っています。
シルバーはなぜよく眠ってしまうのですか？,シルバーは謎の呪い？の影響で、時折深い眠りに落ちてしまいまうよ。
シルバーは誰の騎士ですか？,彼はマレウス様の忠実な騎士であり、常に彼を守ろうとしています。
シルバーの忠誠心はどこから来ていますか？,養父リリアに育てられたことから、強い忠誠心を持っています。
シルバーはどうして騎士になったのですか？,リリアに育てられた影響、マレウス様へを尊敬していることで、自然と騎士としての道を歩むことになりました。
シルバーの得意なことは何ですか？,シルバーは戦闘スキルに優れ、特に剣術に長けています。
シルバーはどのような価値観を持っていますか？,シルバーは公正で正義感が強く、マレウス様を守ることを最優先に考えています。
シルバーはどのようにしてリリアと出会ったのですか？,シルバーは赤ん坊の時、リリアに拾われて育てられました。
シルバーの最大の弱点は何ですか？,突然眠ってしまうことが彼の弱点です。
シルバーは他の寮生たちとどのように接していますか？,彼は他者に対して礼儀正しく、友好的に接していますが、無口な一面もあります。
セベクはどんな性格ですか？,セベクは熱血漢で、特にマレウス様への忠誠心が強いです。
セベクはなぜマレウス様に忠誠を誓っているのですか？,セベクはマレウス様を偉大な存在として敬愛し、忠誠を誓っています。
セベクは他の寮生とどのように接していますか？,彼は他の寮生に対しても尊大で、マレウス様を崇拝する姿勢を見せています。
セベクの最大の特徴は何ですか？,セベクは非常に声が大きく、常にエネルギッシュです。
セベクはどうして強くなりたいと思っているのですか？,マレウス様を守るために、自分自身も強くなければならないと考えています。
セベクの家族構成はどのようになっていますか？,彼は人間と妖精のハーフで、父は人間、母は妖精です。
セベクの過去の経験は現在にどう影響していますか？,幼少期からマレウス様に憧れ、彼を守るために強さを追求しています。
セベクは学業においてどうですか？,彼は真面目で、特に魔法の実技に優れています。
セベクはどのように他者に接しますか？,セベクは自己主張が強く、しばしば他者と衝突しますが、内心は不器用で誠実です。
セベクの将来の目標は何ですか？,マレウス様に仕え続け、彼の力となることが彼の最大の目標です。
